B,sigma,Obj_mass,Obj_concentration,Obj_retentate_concentration,Obj_permeate_conductivity,Obj_retentate_conductivity
12.631579526315788,0.7894736842105263,1.1678250461383692,2.037086520521635,3.6305931566947756,3.4882410297203497,1.60459588312694
12.631579526315788,0.8421052631578947,1.1298938480232286,2.0359754017775242,3.6295029210988896,3.488222001607071,1.6036318336138002
12.631579526315788,0.894736842105263,1.094155882612316,2.034879723623936,3.628510242233562,3.488203690819385,1.6027572824069727
12.631579526315788,0.9473684210526315,1.061268675226333,2.0337993071352836,3.6276134606759034,3.48818608578191,1.60197070939699
12.631579526315788,1.0,1.0319330186752722,2.0327339772512505,3.6268109007565807,3.4881691752227537,1.601270583043521
14.210526842105262,0.0,1.763635494147239,2.0873466845871174,3.6502970246829594,3.5279028012337195,1.6225019333605963
14.210526842105262,0.05263157894736842,1.7306116245445093,2.0857919727538015,3.6481893449457754,3.5278614063632703,1.6205998769237275
14.210526842105262,0.10526315789473684,1.6970282928066776,2.084253591899591,3.646179980600126,3.527820870951986,1.6187882297979304
14.210526842105262,0.15789473684210525,1.6628811992757335,2.0827313500459756,3.6442678210960797,3.5277811801328016,1.6170659349420464
14.210526842105262,0.21052631578947367,1.628170976426529,2.08122506016688,3.642451729710421,3.527742319461503,1.6154319152438639
14.210526842105262,0.2631578947368421,1.5929046252932486,2.0797345399872347,3.6407305446939664,3.527704274899655,1.6138850744974524
14.210526842105262,0.3157894736842105,1.5570972921158546,2.0782596117915197,3.639103080463158,3.527667032798406,1.6124242984109716
14.210526842105262,0.3684210526315789,1.520774452332208,2.076800102241682,3.637568128830685,3.5276305798831213,1.6110484556408693
14.210526842105262,0.42105263157894735,1.48397457490626,2.075355842203899,3.636124460270004,3.5275949032387754,1.6097563988484933
14.210526842105262,0.47368421052631576,1.4467523411905256,2.0739266665836618,3.6347708252086313,3.5275599902960737,1.6085469657751534
14.210526842105262,0.5263157894736842,1.409182484883088,2.0725124141687292,3.6335059553452322,3.5275258288182627,1.6074189803318257
14.210526842105262,0.5789473684210527,1.3713642967933448,2.071112927479515,3.6323285649855666,3.5274924068885753,1.6063712536997703
14.210526842105262,0.631578947368421,1.3334267909379238,2.0697280526264574,3.631237352392541,3.5274597128982763,1.6054025854384382
14.210526842105262,0.6842105263157894,1.2955344447091626,2.068357639174044,3.6302310011457175,3.527427735535288,1.604511764597189
14.210526842105262,0.7368421052631579,1.2578932906844136,2.067001540011076,3.6293081815057797,3.5273964637733437,1.6036975708274746
14.210526842105262,0.7894736842105263,1.220756936111198,2.0656596112268812,3.6284675517796807,3.527365886861649,1.6029587754922632
14.210526842105262,0.8421052631578947,1.1844318089214803,2.0643317119931144,3.627707759682277,3.5273359943150258,1.6022941427696518
14.210526842105262,0.894736842105263,1.1492805836787328,2.063017704450896,3.6270274436905816,3.527306775904502,1.60170243074778
14.210526842105262,0.9473684210526315,1.1157223681968962,2.0617174536029697,3.626425234386818,3.52727822164833,1.60118239250827
14.210526842105262,1.0,1.084227926829751,2.0604308272106264,3.6258997557868002,3.5272503218034097,1.6007327771956272
15.789474157894736,0.0,1.7636354941472387,2.1189305292449676,3.643512083373926,3.560278260672401,1.6165932259094862
15.789474157894736,0.05263157894736842,1.7332859958946192,2.1172838614883087,3.6418824700174808,3.5602305670675345,1.6151272969822696
15.789474157894736,0.10526315789473684,1.7024674700785856,2.115651198115758,3.6403346122323996,3.560183655454859,1.6137364449226967
15.789474157894736,0.15789473684210525,1.671176524966379,2.1140323953198967,3.638867513756274,3.5601375135195896,1.6124197366258872
15.789474157894736,0.21052631578947367,1.6394131898523354,2.1124273127859414,3.637480162976643,3.5600921292642567,1.6111762276303112
