B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,panel_id
0.122449918367347,1.07559183673469,-1.219541609635478,-0.8625819088230976,0.1741908823478948,A
0.122449918367347,1.21751020408163,-1.2600976076423749,-0.7690575143720313,0.1397401259032531,A
0.122449918367347,1.35942857142857,-1.302518546942496,-0.6968094483066021,0.1031071702656871,A
0.122449918367347,1.50134693877551,-1.3469864396857458,-0.6395067415747399,0.0640448840806752,A
0.122449918367347,1.64326530612245,-1.393709625402246,-0.5930558565465823,0.0222618062271196,A
0.122449918367347,1.78518367346939,-1.442928393449144,-0.55471240523598,-0.0225887580782566,A
0.122449918367347,1.92710204081633,-1.4949219619229963,-0.5225748172869968,-0.0709232987017914,A
0.122449918367347,2.06902040816327,-1.5500172663491476,-0.4952871468708467,-0.1232478681781786,A
0.122449918367347,2.2109387755102,-1.608600152740295,-0.4718582482921116,-0.1801854463079322,A
0.122449918367347,2.35285714285714,-1.671129762600507,-0.4515478898197709,-0.2425146676951059,A
0.122449918367347,2.49477551020408,-1.7381571424284687,-0.4337927541912891,-0.3112260774905251,A
