sigma,vial_number,time_min,mass_g,permeate_concentration_mM,retentate_concentration_mM
0.5,9,177.43056841666666,0.29569638686286576,12.635469840642491,92.46685118525821
0.5,9,178.71666666666667,0.3541947963788945,12.726383527292358,92.85289901752671
0.5,9,180.00276491666668,0.412483376078049,12.817314186235715,93.23702136069237
0.5,9,181.28890175,0.4705653326178481,12.908263681970308,93.6192431176197
0.5,9,182.575,0.5284386457113613,12.999225595311852,93.9995547949046
0.5,9,183.86109825,0.5861065040143899,13.090201615075394,94.37798113022001
0.5,9,185.14723508333333,0.6435720596049915,13.181193373768336,94.7545465255857
0.5,9,186.43333333333334,0.7008332930417122,13.272194275970516,95.12924149535601
0.5,9,187.71943158333335,0.7578933387197037,13.363205883183268,95.50209027928477
0.5,9,189.00556841666668,0.814755295226383,13.454229734578744,95.87311678853844
0.5,9,190.29166666666666,0.8714171439749006,13.545259164823872,96.24231154531364
0.5,9,191.57776491666667,0.9278819663054175,13.636295688278942,96.6096983025086
0.5,9,192.86390175,0.9841528085414102,13.7273408117973,96.97530049169333
0.5,9,194.15,1.0402276530831305,13.818387847609076,97.33910864412248
0.5,9,195.43609825000001,1.0961095294838876,13.909438298401557,97.70114603747578
0.5,9,196.72223508333335,1.1518014330682025,14.000493665789012,98.06143563533475
0.5,9,198.00833333333333,1.2073013474033674,14.09154726126666,98.41996797966331
0.5,9,199.29443158333333,1.2626122515297054,14.182600591707217,98.77676588461219
0.5,9,200.58056841666667,1.3177370910333006,14.27365516565201,99.13185185734153
0.5,9,201.86666666666667,1.3726738508429805,14.364704304207299,99.4852164523093
0.5,9,203.15276491666665,1.4274254607415635,14.455749525637735,99.83688203165804
0.5,9,204.43890174999999,1.4819948178147393,14.546792350983386,100.18687065748732
0.5,9,205.725,1.5363799085478016,14.63782611626617,100.53517289853791
0.5,9,207.01109825,1.5905836146932932,14.728852354503823,100.88181067620577
0.5,9,208.29723508333333,1.6446087860448522,14.819872601867049,101.22680561861819
0.5,9,209.58333333333334,1.6984534108337044,14.910880212334614,101.57014831053733
0.5,10,210.83333333333334,1e-06,14.910880212334614,101.57014831053733
0.5,10,212.25831908333333,0.05944236283388564,15.011696020369916,101.94856843557156
0.5,10,213.68334758333333,0.11866911150880742,15.112494977299649,102.32501415707625
0.5,10,215.10833333333332,0.1776793168287792,15.213270623224002,102.69947779438624
0.5,10,216.53331908333334,0.23647635939386477,15.3140252841712,103.07198535811345
0.5,10,217.95834758333334,0.2950635802766516,15.414761072238871,103.44256249614867
0.5,10,219.38333333333333,0.35343904643190427,15.515470884210542,103.81120149250432
0.5,10,220.80831908333332,0.41160607723213566,15.616156566263903,104.17792779594188
0.5,10,222.23334758333334,0.46956795321807476,15.716819877060695,104.54276649888561
0.5,10,223.65833333333333,0.5273227370149459,15.817453461664718,104.90570984561822
0.5,10,225.08331908333332,0.5848736877813651,15.918058979289732,105.26678273235245
0.5,10,226.50834758333335,0.6422240266872468,16.01863805475516,105.62600970670027
0.5,10,227.93333333333334,0.6993718120723666,16.119183247275412,105.98338297361929
0.5,10,229.35831908333333,0.756320244249821,16.21969615283456,106.3389268893303
0.5,10,230.78334758333332,0.8130724864331532,16.320178355338488,106.69266546961258
0.5,10,232.20833333333334,0.8696265929310795,16.420622399149874,107.04459088243297
0.5,10,233.63331908333333,0.9259857067000492,16.52102986955967,107.3947269576829
0.5,10,235.05834758333333,0.9821529344900912,16.621402349088573,107.74309719300803
